Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
39,Seed Dealers,Kanpur City,Kalyanpur,KISHAN BEEJ SHAKARI SAMITI,,AWADHPURI KANPUR BLOCK KALYANPUR,For Free Alerts
40,Seed Dealers,Kanpur City,Kalyanpur,KISHAN KRISHI KENDRA,,76/242 BADSAHI NAKA KANPUR BLOCK KALYANPUR,For Free Alerts
41,Seed Dealers,Kanpur City,Kalyanpur,KISHAN KRISHI SEWA KENDRA,,GRAM TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
42,Seed Dealers,Kanpur City,Kalyanpur,KISHAN SEEDS AND PESTICIDE,,JHAKAR KATTI KANPUR BLOCK KALYANPUR,For Free Alerts
43,Seed Dealers,Kanpur City,Kalyanpur,KISHAN SEWA KENDRA,,GT ROAD KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
44,Seed Dealers,Kanpur City,Kalyanpur,KOYAL KHAD BHANDAR,,GRAM DOOL KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
45,Seed Dealers,Kanpur City,Kalyanpur,KRISHANA AGRO AGENCY,,DHANKUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
46,Seed Dealers,Kanpur City,Kalyanpur,KRISHI SAHARA,,75/232 SABJIMANDI KANPUR BLOCK KALYAN PUR,For Free Alerts
47,Seed Dealers,Kanpur City,Kalyanpur,KRISI VIKAS KENDRA,,KIDWAI NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
48,Seed Dealers,Kanpur City,Kalyanpur,KUSHWAHA AGRO AGENCY,,SHOP 80 RAMA DEVI KANPUR BLOCK KALYANPUR,For Free Alerts
49,Seed Dealers,Kanpur City,Kalyanpur,MAA TAPESWARI BEEJ BHANDAR,,GRAM REWRI KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
50,Seed Dealers,Kanpur City,Kalyanpur,MAA TAPESWARI BEEJ BHANDAR,,GRAM REWRI KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
51,Seed Dealers,Kanpur City,Kalyanpur,MANGAL BEEJ BHANDAR,,GT ROAD KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
52,Seed Dealers,Kanpur City,Kalyanpur,MANGAL BEEJ BHANDAR,,GT ROAD KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
53,Seed Dealers,Kanpur City,Kalyanpur,MANOJ BEEJ COMPANY,,SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
54,Seed Dealers,Kanpur City,Kalyanpur,MASTER BEEJ BHANDAR,,KISHAN NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
55,Seed Dealers,Kanpur City,Kalyanpur,MISHRA KHAD AND BEEJ BHANDAR,,GT ROAD MADHANA KANPUR BLOCK KALYANPUR,For Free Alerts
